yearID,teamID,franchID,name,Rank,W,L,NR,Playoffs,Cwin,CRU
2019,RR,RR,Rajasthan Royals,7,5,8,1,N,N,N
2019,RCB,RCB,Royal Challengers Bangalore,8,5,8,0,N,N,N
2019,HDC,HDC,Sunrisers Hyderabad,4,6,8,0,Y,N,N
2020,CSK,CSK,Chennai Super Kings,7,6,8,0,N,N,N
2020,DC,DC,Delhi Capitals,2,8,6,0,Y,N,Y
2020,PBKS,PBKS,Kings XI Punjab,6,6,8,0,N,N,N
2020,KKR,KKR,Kolkata Knight Riders,5,7,7,0,N,N,N
2020,MI,MI,Mumbai Indians,1,9,5,0,Y,Y,N
2020,RR,RR,Rajasthan Royals,8,6,8,0,N,N,N
2020,RCB,RCB,Royal Challengers Bangalore,4,7,7,0,Y,N,N
2020,HDC,HDC,Sunrisers Hyderabad,3,7,7,0,Y,N,N
2021,CSK,CSK,Chennai Super Kings,2,9,5,0,Y,Y,N
2021,DC,DC,Delhi Capitals,1,10,4,0,Y,N,N
2021,PBKS,PBKS,Punjab Kings,6,6,8,0,N,N,N
2021,KKR,KKR,Kolkata Knight Riders,4,7,7,0,Y,N,Y
2021,MI,MI,Mumbai Indians,5,7,7,0,N,N,N
2021,RR,RR,Rajasthan Royals,7,5,9,0,N,N,N
2021,RCB,RCB,Royal Challengers Bangalore,3,9,5,0,Y,N,N
2021,HDC,HDC,Sunrisers Hyderabad,8,3,11,0,N,N,N
2022,GUJ,GUJ,Gujrat Titans,1,10,4,0,Y,Y,N
2022,RR,RR,Rajasthan Royals,2,9,5,0,Y,N,Y
2022,LUK,LUK,Luknow Super Giants,3,9,5,0,Y,N,N
2022,RCB,RCB,Royal Challengers Bangalore,4,8,6,0,Y,N,N
2022,DC,DC,Delhi Capitals,5,7,7,0,N,N,N
2022,PBKS,PBKS,Punjab Kings,6,7,7,0,N,N,N
2022,KKR,KKR,Kolkata Knight Riders,7,6,8,0,N,N,N
2022,HDC,HDC,Sunrisers Hyderabad,8,6,8,0,N,N,N
2022,CSK,CSK,Chennai Super Kings,9,4,10,0,N,N,N
2022,MI,MI,Mumbai Indians,10,4,10,0,N,N,N
