franchID,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/G,yearID
Eibar,10,38,15,9,14,56,51,5,54,1.42,2017
Espanyol,8,38,15,11,12,49,50,-1,56,1.47,2017
Granada,20,38,4,8,26,30,82,-52,20,0.53,2017
La Coruña,16,38,8,12,18,43,61,-18,36,0.95,2017
Las Palmas,14,38,10,9,19,53,74,-21,39,1.03,2017
Leganés,17,38,8,11,19,36,55,-19,35,0.92,2017
Málaga,11,38,12,10,16,49,55,-6,46,1.21,2017
Osasuna,19,38,4,10,24,40,94,-54,22,0.58,2017
Real Betis,15,38,10,9,19,41,64,-23,39,1.03,2017
Real Madrid,1,38,29,6,3,106,41,65,93,2.45,2017
Real Sociedad,6,38,19,7,12,59,53,6,64,1.68,2017
Sevilla,4,38,21,9,8,69,49,20,72,1.89,2017
Sporting de Gijón,18,38,7,10,21,42,72,-30,31,0.82,2017
Valencia,12,38,13,7,18,56,65,-9,46,1.21,2017
Villarreal,5,38,19,10,9,56,33,23,67,1.76,2017
Alavés,14,38,15,2,21,40,50,-10,47,1.24,2018
Athletic Club,16,38,10,13,15,41,49,-8,43,1.13,2018
Atlético Madrid,2,38,23,10,5,58,22,36,79,2.08,2018
Barcelona,1,38,28,9,1,99,29,70,93,2.45,2018
Celta Vigo,13,38,13,10,15,59,60,-1,49,1.29,2018
Eibar,9,38,14,9,15,44,50,-6,51,1.34,2018
Espanyol,11,38,12,13,13,36,42,-6,49,1.29,2018
Getafe,8,38,15,10,13,42,33,9,55,1.45,2018
Girona,10,38,14,9,15,50,59,-9,51,1.34,2018
La Coruña,18,38,6,11,21,38,76,-38,29,0.76,2018
Las Palmas,19,38,5,7,26,24,74,-50,22,0.58,2018
Leganés,17,38,12,7,19,34,51,-17,43,1.13,2018
Levante,15,38,11,13,14,44,58,-14,46,1.21,2018
Málaga,20,38,5,5,28,24,61,-37,20,0.53,2018
Real Betis,6,38,18,6,14,60,61,-1,60,1.58,2018
Real Madrid,3,38,22,10,6,94,44,50,76,2,2018
Real Sociedad,12,38,14,7,17,66,59,7,49,1.29,2018
Sevilla,7,38,17,7,14,49,58,-9,58,1.53,2018
Valencia,4,38,22,7,9,65,38,27,73,1.92,2018
Villarreal,5,38,18,7,13,57,50,7,61,1.61,2018
Alavés,11,38,13,11,14,39,50,-11,50,1.32,2019
Athletic Club,8,38,13,14,11,41,45,-4,53,1.39,2019
Atlético Madrid,2,38,22,10,6,55,29,26,76,2,2019
Barcelona,1,38,26,9,3,90,36,54,87,2.29,2019
Celta Vigo,17,38,10,11,17,53,62,-9,41,1.08,2019
Eibar,12,38,11,14,13,46,50,-4,47,1.24,2019
Espanyol,7,38,14,11,13,48,50,-2,53,1.39,2019
Getafe,5,38,15,14,9,48,35,13,59,1.55,2019
Girona,18,38,9,10,19,37,53,-16,37,0.97,2019
Huesca,19,38,7,12,19,43,65,-22,33,0.87,2019
Leganés,13,38,11,12,15,37,43,-6,45,1.18,2019
Levante,15,38,11,11,16,59,66,-7,44,1.16,2019
Rayo Vallecano,20,38,8,8,22,41,70,-29,32,0.84,2019
Real Betis,10,38,14,8,16,44,52,-8,50,1.32,2019
Real Madrid,3,38,21,5,12,63,46,17,68,1.79,2019
Real Sociedad,9,38,13,11,14,45,46,-1,50,1.32,2019
Sevilla,6,38,17,8,13,62,47,15,59,1.55,2019
Valencia,4,38,15,16,7,51,35,16,61,1.61,2019
Valladolid,16,38,10,11,17,32,51,-19,41,1.08,2019
Villarreal,14,38,10,14,14,49,52,-3,44,1.16,2019
Alavés,16,38,10,9,19,34,59,-25,39,1.03,2020
Athletic Club,11,38,13,12,13,41,38,3,51,1.34,2020
Atlético Madrid,3,38,18,16,4,51,27,24,70,1.84,2020
Barcelona,2,38,25,7,6,86,38,48,82,2.16,2020
Celta Vigo,17,38,7,16,15,37,49,-12,37,0.97,2020
Eibar,14,38,11,9,18,39,56,-17,42,1.11,2020
Espanyol,20,38,5,10,23,27,58,-31,25,0.66,2020
Getafe,8,38,14,12,12,43,37,6,54,1.42,2020
Granada,7,38,16,8,14,52,45,7,56,1.47,2020
Leganés,18,38,8,12,18,30,51,-21,36,0.95,2020
Levante,12,38,14,7,17,47,53,-6,49,1.29,2020
Mallorca,19,38,9,6,23,40,65,-25,33,0.87,2020
Osasuna,10,38,13,13,12,46,54,-8,52,1.37,2020
Real Betis,15,38,10,11,17,48,60,-12,41,1.08,2020
Real Madrid,1,38,26,9,3,70,25,45,87,2.29,2020
Real Sociedad,6,38,16,8,14,56,48,8,56,1.47,2020
Sevilla,4,38,19,13,6,54,34,20,70,1.84,2020
Valencia,9,38,14,11,13,46,53,-7,53,1.39,2020
Valladolid,13,38,9,15,14,32,43,-11,42,1.11,2020
Villarreal,5,38,18,6,14,63,49,14,60,1.58,2020
Alavés,16,38,9,11,18,36,57,-21,38,1,2021
Athletic Club,10,38,11,13,14,46,42,4,46,1.21,2021
Atlético Madrid,1,38,26,8,4,67,25,42,86,2.26,2021
Barcelona,3,38,24,7,7,85,38,47,79,2.08,2021
Cádiz,12,38,11,11,16,36,58,-22,44,1.16,2021
Celta Vigo,8,38,14,11,13,55,57,-2,53,1.39,2021
Eibar,20,38,6,12,20,29,52,-23,30,0.79,2021
Elche,17,38,8,12,18,34,55,-21,36,0.95,2021
Getafe,15,38,9,11,18,28,43,-15,38,1,2021
Granada,9,38,13,7,18,47,65,-18,46,1.21,2021
Huesca,18,38,7,13,18,34,53,-19,34,0.89,2021
Levante,14,38,9,14,15,46,57,-11,41,1.08,2021
Osasuna,11,38,11,11,16,37,48,-11,44,1.16,2021
Real Betis,6,38,17,10,11,50,50,0,61,1.61,2021
Real Madrid,2,38,25,9,4,67,28,39,84,2.21,2021
Real Sociedad,5,38,17,11,10,59,38,21,62,1.63,2021
Sevilla,4,38,24,5,9,53,33,20,77,2.03,2021
Valencia,13,38,10,13,15,50,53,-3,43,1.13,2021
Valladolid,19,38,5,16,17,34,57,-23,31,0.82,2021
Villarreal,7,38,15,13,10,60,44,16,58,1.53,2021
Alavés,20,38,8,7,23,31,65,-34,31,0.82,2022
Athletic Club,8,38,14,13,11,43,36,7,55,1.45,2022
Atlético Madrid,3,38,21,8,9,65,43,22,71,1.87,2022
Barcelona,2,38,21,10,7,68,38,30,73,1.92,2022
Cádiz,17,38,8,15,15,35,51,-16,39,1.03,2022
Celta Vigo,11,38,12,10,16,43,43,0,46,1.21,2022
Elche,13,38,11,9,18,40,52,-12,42,1.11,2022
Espanyol,14,38,10,12,16,40,53,-13,42,1.11,2022
Getafe,15,38,8,15,15,33,41,-8,39,1.03,2022
Granada,18,38,8,14,16,44,61,-17,38,1,2022
Levante,19,38,8,11,19,51,76,-25,35,0.92,2022
Mallorca,16,38,10,9,19,36,63,-27,39,1.03,2022
Osasuna,10,38,12,11,15,37,51,-14,47,1.24,2022
Rayo Vallecano,12,38,11,9,18,39,50,-11,42,1.11,2022
Real Betis,5,38,19,8,11,62,40,22,65,1.71,2022
Real Madrid,1,38,26,8,4,80,31,49,86,2.26,2022
Real Sociedad,6,38,17,11,10,40,37,3,62,1.63,2022
Sevilla,4,38,18,16,4,53,30,23,70,1.84,2022
Valencia,9,38,11,15,12,48,53,-5,48,1.26,2022
Villarreal,7,38,16,11,11,63,37,26,59,1.55,2022
