franchID,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/G,yearID
Real Betis,18,38,11,9,18,33,56,-23,42,1.11,2000
Real Madrid,5,38,16,14,8,58,48,10,62,1.63,2000
Real Sociedad,13,38,11,14,13,42,49,-7,47,1.24,2000
Sevilla,20,38,5,13,20,42,67,-25,28,0.74,2000
Valencia,3,38,18,10,10,59,39,20,64,1.68,2000
Valladolid,8,38,14,11,13,36,44,-8,53,1.39,2000
Zaragoza,4,38,16,15,7,60,40,20,63,1.66,2000
Alavés,10,38,14,7,17,58,59,-1,49,1.29,2001
Athletic Club,12,38,11,10,17,44,60,-16,43,1.13,2001
Barcelona,4,38,17,12,9,80,57,23,63,1.66,2001
Celta Vigo,6,38,16,11,11,51,49,2,59,1.55,2001
Espanyol,9,38,14,8,16,46,44,2,50,1.32,2001
La Coruña,2,38,22,7,9,73,44,29,73,1.92,2001
Las Palmas,11,38,13,7,18,42,62,-20,46,1.21,2001
Málaga,8,38,16,8,14,60,61,-1,56,1.47,2001
Mallorca,3,38,20,11,7,61,43,18,71,1.87,2001
Numancia,20,38,10,9,19,40,64,-24,39,1.03,2001
Osasuna,15,38,10,12,16,43,54,-11,42,1.11,2001
Oviedo,18,38,11,8,19,51,67,-16,41,1.08,2001
Racing Sant,19,38,10,9,19,48,62,-14,39,1.03,2001
Rayo Vallecano,14,38,10,13,15,56,68,-12,43,1.13,2001
Real Madrid,1,38,24,8,6,81,40,41,80,2.11,2001
Real Sociedad,13,38,11,10,17,52,68,-16,43,1.13,2001
Valencia,5,38,18,9,11,55,34,21,63,1.66,2001
Valladolid,16,38,9,15,14,42,50,-8,42,1.11,2001
Villarreal,7,38,16,9,13,58,52,6,57,1.5,2001
Zaragoza,17,38,9,15,14,54,57,-3,42,1.11,2001
Alavés,7,38,17,3,18,41,44,-3,54,1.42,2002
Athletic Club,9,38,14,11,13,54,66,-12,53,1.39,2002
Barcelona,4,38,18,10,10,65,37,28,64,1.68,2002
Celta Vigo,5,38,16,12,10,64,46,18,60,1.58,2002
Espanyol,14,38,13,8,17,47,56,-9,47,1.24,2002
La Coruña,2,38,20,8,10,65,41,24,68,1.79,2002
Las Palmas,18,38,9,13,16,40,50,-10,40,1.05,2002
Málaga,10,38,13,14,11,44,44,0,53,1.39,2002
Mallorca,16,38,11,10,17,40,52,-12,43,1.13,2002
Osasuna,17,38,10,12,16,36,49,-13,42,1.11,2002
Rayo Vallecano,11,38,13,10,15,46,52,-6,49,1.29,2002
Real Betis,6,38,15,14,9,42,34,8,59,1.55,2002
Real Madrid,3,38,19,9,10,69,44,25,66,1.74,2002
Real Sociedad,13,38,13,8,17,48,54,-6,47,1.24,2002
