yearID,franchID,team,W,L,Ties,W-L%,GB,ch_win,ch_app
2018,MBC,LG Twins,68,75,1,0.476,24.5,N,N
2018,LOG,Lotte Giants,68,74,2,0.479,24,N,N
2018,NCD,NC Dinos,58,85,1,0.406,34.5,N,N
2018,WOH,Nexen Heroes,75,69,0,0.521,18,N,N
2018,SAM,Samsung Lions,68,72,4,0.486,23,N,N
2018,SKW,SK Wyverns,78,65,1,0.545,14.5,Y,Y
2019,OBB,Doosan Bears,88,55,1,0.615,--,Y,Y
2019,BGE,Hanwha Eagles,58,86,0,0.403,30.5,N,N
2019,HAI,Kia Tigers,62,80,2,0.437,25.5,N,N
2019,WOH,Kiwoom Heroes,86,57,1,0.601,2,N,Y
2019,KTW,KT Wiz,71,71,2,0.5,16.5,N,N
2019,MBC,LG Twins,79,64,1,0.552,9,N,N
2019,LOG,Lotte Giants,48,93,3,0.34,39,N,N
2019,NCD,NC Dinos,73,69,2,0.514,14.5,N,N
2019,SAM,Samsung Lions,60,83,1,0.42,28,N,N
2019,SKW,SK Wyverns,88,55,1,0.615,--,N,N
2020,OBB,Doosan Bears,79,61,4,0.564,5,N,Y
2020,BGE,Hanwha Eagles,46,95,3,0.326,38.5,N,N
2020,HAI,Kia Tigers,73,71,0,0.507,13,N,N
2020,WOH,Kiwoom Heroes,80,63,1,0.559,5.5,N,N
2020,KTW,KT Wiz,81,62,1,0.566,4.5,N,N
2020,MBC,LG Twins,79,61,4,0.564,5,N,N
2020,LOG,Lotte Giants,71,72,1,0.497,14.5,N,N
2020,NCD,NC Dinos,83,55,6,0.601,--,Y,Y
2020,SAM,Samsung Lions,64,75,5,0.46,19.5,N,N
2020,SKW,SK Wyverns,51,92,1,0.357,34.5,N,N
2021,OBB,Doosan Bears,70,65,8,0.519,5.5,N,Y
2021,BGE,Hanwha Eagles,49,82,12,0.374,24.5,N,N
2021,HAI,Kia Tigers,58,75,10,0.436,16.5,N,N
2021,WOH,Kiwoom Heroes,69,67,7,0.507,7,N,N
2021,KTW,KT Wiz,75,59,9,0.56,--,Y,Y
2021,MBC,LG Twins,72,57,14,0.558,0.5,N,N
2021,LOG,Lotte Giants,64,71,8,0.474,11.5,N,N
2021,NCD,NC Dinos,67,67,9,0.5,8,N,N
2021,SAM,Samsung Lions,75,59,9,0.56,--,N,N
2021,SKW,SSG Landers,66,63,14,0.512,6.5,N,N
