franchID,City,Team,yearID,LG,Ord,G,W,L,T,Cwin,CRU
CDR,Chuncihi,Dragons,1979,C,3,130,59,57,14,N,N
HAN,Hanshin,Tigers,1979,C,4,130,61,60,9,N,N
YMG,Yomiuri,Giants,1979,C,5,130,58,62,10,N,N
TYS,Yakult,Swallows,1979,C,6,130,48,69,13,N,N
KIN,Kintetsu,Buffaloes,1979,P,1,130,74,45,11,N,Y
BUF,Hankyu,Braves,1979,P,2,130,75,44,11,N,N
HNF,Nippon Ham,Fighters,1979,P,3,130,63,60,7,N,N
CLM,Lotte,Orions,1979,P,4,130,55,63,12,N,N
FUK,Nankai,Hawks,1979,P,5,130,46,73,11,N,N
SSL,Seibu,Lions,1979,P,6,130,45,73,12,N,N
HIR,Hiroshima Toyo,Carp,1980,C,1,130,73,44,13,Y,N
TYS,Yakult,Swallows,1980,C,2,130,68,52,10,N,N
YMG,Yomiuri,Giants,1980,C,3,130,61,60,9,N,N
YOK,Yokohoma Taiyo,Whales,1980,C,4,130,59,62,9,N,N
HAN,Hanshin,Tigers,1980,C,5,130,54,66,10,N,N
CDR,Chuncihi,Dragons,1980,C,6,130,45,76,9,N,N
KIN,Kintetsu,Buffaloes,1980,P,1,130,68,54,8,N,Y
CLM,Lotte,Orions,1980,P,2,130,64,51,15,N,N
HNF,Nippon Ham,Fighters,1980,P,3,130,66,53,11,N,N
SSL,Seibu,Lions,1980,P,4,130,62,64,4,N,N
BUF,Hankyu,Braves,1980,P,5,130,58,67,5,N,N
FUK,Nankai,Hawks,1980,P,6,130,48,77,5,N,N
YMG,Yomiuri,Giants,1981,C,1,130,73,48,9,Y,N
HIR,Hiroshima Toyo,Carp,1981,C,2,130,67,54,9,N,N
HAN,Hanshin,Tigers,1981,C,3,130,67,58,5,N,N
TYS,Yakult,Swallows,1981,C,4,130,56,58,16,N,N
CDR,Chuncihi,Dragons,1981,C,5,130,58,65,7,N,N
YOK,Yokohoma Taiyo,Whales,1981,C,6,130,42,80,8,N,N
HNF,Nippon Ham,Fighters,1981,P,1,130,68,54,8,N,Y
BUF,Hankyu,Braves,1981,P,2,130,68,58,4,N,N
CLM,Lotte,Orions,1981,P,3,130,63,57,10,N,N
SSL,Seibu,Lions,1981,P,4,130,61,61,8,N,N
FUK,Nankai,Hawks,1981,P,5,130,53,65,12,N,N
KIN,Kintetsu,Buffaloes,1981,P,6,130,54,72,4,N,N
CDR,Chuncihi,Dragons,1982,C,1,130,64,47,19,N,Y
YMG,Yomiuri,Giants,1982,C,2,130,66,50,14,N,N
HAN,Hanshin,Tigers,1982,C,3,130,65,57,8,N,N
HIR,Hiroshima Toyo,Carp,1982,C,4,130,59,58,13,N,N
YOK,Yokohoma Taiyo,Whales,1982,C,5,130,53,65,12,N,N
TYS,Yakult,Swallows,1982,C,6,130,45,75,10,N,N
SSL,Seibu,Lions,1982,P,1,130,68,58,4,Y,N
HNF,Nippon Ham,Fighters,1982,P,2,130,67,52,11,N,N
KIN,Kintetsu,Buffaloes,1982,P,3,130,63,57,10,N,N
BUF,Hankyu,Braves,1982,P,4,130,62,60,8,N,N
CLM,Lotte,Orions,1982,P,5,130,54,69,7,N,N
FUK,Nankai,Hawks,1982,P,6,130,53,71,6,N,N
YMG,Yomiuri,Giants,1983,C,1,130,72,50,8,N,Y
HIR,Hiroshima Toyo,Carp,1983,C,2,130,65,55,10,N,N
YOK,Yokohoma Taiyo,Whales,1983,C,3,130,61,61,8,N,N
HAN,Hanshin,Tigers,1983,C,4,130,62,63,5,N,N
CDR,Chuncihi,Dragons,1983,C,5,130,54,69,7,N,N
TYS,Yakult,Swallows,1983,C,6,130,53,69,8,N,N
SSL,Seibu,Lions,1983,P,1,130,86,40,4,Y,N
BUF,Hankyu,Braves,1983,P,2,130,67,55,8,N,N
HNF,Nippon Ham,Fighters,1983,P,3,130,64,59,7,N,N
KIN,Kintetsu,Buffaloes,1983,P,4,130,52,65,13,N,N
FUK,Nankai,Hawks,1983,P,5,130,52,69,9,N,N
CLM,Lotte,Orions,1983,P,6,130,43,76,11,N,N
HIR,Hiroshima Toyo,Carp,1984,C,1,130,75,45,10,Y,N
CDR,Chuncihi,Dragons,1984,C,2,130,73,49,8,N,N
YMG,Yomiuri,Giants,1984,C,3,130,67,54,9,N,N
HAN,Hanshin,Tigers,1984,C,4,130,53,69,8,N,N
TYS,Yakult,Swallows,1984,C,5,130,51,71,8,N,N
YOK,Yokohoma Taiyo,Whales,1984,C,6,130,46,77,7,N,N
BUF,Hankyu,Braves,1984,P,1,130,75,45,40,N,Y
CLM,Lotte,Orions,1984,P,2,130,64,51,15,N,N
SSL,Seibu,Lions,1984,P,3,130,62,61,7,N,N
KIN,Kintetsu,Buffaloes,1984,P,4,130,58,61,11,N,N
FUK,Nankai,Hawks,1984,P,5,130,53,65,12,N,N
HNF,Nippon Ham,Fighters,1984,P,6,130,44,73,13,N,N
HAN,Hanshin,Tigers,1985,C,1,130,74,49,7,Y,N
HIR,Hiroshima Toyo,Carp,1985,C,2,130,68,57,5,N,N
YMG,Yomiuri,Giants,1985,C,3,130,61,60,9,N,N
YOK,Yokohoma Taiyo,Whales,1985,C,4,130,57,61,12,N,N
CDR,Chuncihi,Dragons,1985,C,5,130,56,61,13,N,N
TYS,Yakult,Swallows,1985,C,6,130,46,74,10,N,N
SSL,Seibu,Lions,1985,P,1,130,76,45,6,N,Y
CLM,Lotte,Orions,1985,P,2,130,64,60,6,N,N
KIN,Kintetsu,Buffaloes,1985,P,3,130,63,60,7,N,N
BUF,Hankyu,Braves,1985,P,4,130,64,61,5,N,N
HNF,Nippon Ham,Fighters,1985,P,5,130,53,65,12,N,N
FUK,Nankai,Hawks,1985,P,6,130,44,76,10,N,N
HIR,Hiroshima Toyo,Carp,1986,C,1,130,73,46,11,N,Y
YMG,Yomiuri,Giants,1986,C,2,130,75,48,7,N,N
HAN,Hanshin,Tigers,1986,C,3,130,60,60,10,N,N
YOK,Yokohoma Taiyo,Whales,1986,C,4,130,59,69,5,N,N
CDR,Chuncihi,Dragons,1986,C,5,130,54,67,9,N,N
TYS,Yakult,Swallows,1986,C,6,130,49,77,4,N,N
SSL,Seibu,Lions,1986,P,1,130,68,49,13,Y,N
KIN,Kintetsu,Buffaloes,1986,P,2,130,66,52,12,N,N
BUF,Hankyu,Braves,1986,P,3,130,63,57,10,N,N
CLM,Lotte,Orions,1986,P,4,130,57,64,9,N,N
HNF,Nippon Ham,Fighters,1986,P,5,130,57,65,8,N,N
FUK,Nankai,Hawks,1986,P,6,130,49,73,8,N,N
YMG,Yomiuri,Giants,1987,C,1,130,76,43,11,N,Y
CDR,Chuncihi,Dragons,1987,C,2,130,68,51,11,N,N
HIR,Hiroshima Toyo,Carp,1987,C,3,130,65,55,10,N,N
