yearID,franchID,Lg,Tm,W,L,T,Div. Finish,Playoffs,ch_sb_win,ch_sb_app
1945,ARZ,NFL,Chicago Cardinals,1,9,0,5th of 5,,N,N
1944,ARZ,NFL,Chi/Pit Cards/Steelers,0,10,0,5th of 5,,N,N
1943,ARZ,NFL,Chicago Cardinals,0,10,0,4th of 4,,N,N
1942,ARZ,NFL,Chicago Cardinals,3,8,0,4th of 5,,N,N
1941,ARZ,NFL,Chicago Cardinals,3,7,1,4th of 5,,N,N
1940,ARZ,NFL,Chicago Cardinals,2,7,2,5th of 5,,N,N
1939,ARZ,NFL,Chicago Cardinals,1,10,0,5th of 5,,N,N
1938,ARZ,NFL,Chicago Cardinals,2,9,0,5th of 5,,N,N
1937,ARZ,NFL,Chicago Cardinals,5,5,1,4th of 5,,N,N
1936,ARZ,NFL,Chicago Cardinals,3,8,1,4th of 4,,N,N
1935,ARZ,NFL,Chicago Cardinals,6,4,2,3rd of 4,,N,N
1934,ARZ,NFL,Chicago Cardinals,5,6,0,4th of 6,,N,N
1933,ARZ,NFL,Chicago Cardinals,1,9,1,5th of 5,,N,N
1932,ARZ,NFL,Chicago Cardinals,2,6,2,6th of 8,,N,N
1931,ARZ,NFL,Chicago Cardinals,5,4,0,4th of 10,,N,N
1930,ARZ,NFL,Chicago Cardinals,5,6,2,7th of 11,,N,N
1929,ARZ,NFL,Chicago Cardinals,6,6,1,4th of 12,,N,N
1928,ARZ,NFL,Chicago Cardinals,1,5,0,9th of 10,,N,N
1927,ARZ,NFL,Chicago Cardinals,3,7,1,9th of 12,,N,N
1926,ARZ,NFL,Chicago Cardinals,5,6,1,10th of 22,,N,N
1925,ARZ,NFL,Chicago Cardinals,11,2,1,1st of 20,Won Champ,Y,Y
1924,ARZ,NFL,Chicago Cardinals,5,4,1,8th of 18,,N,N
1923,ARZ,NFL,Chicago Cardinals,8,4,0,6th of 20,,N,N
1922,ARZ,NFL,Chicago Cardinals,8,3,0,3rd of 18,,N,N
1921,ARZ,APFA,Chicago Cardinals,3,3,2,8th of 21,,N,N
1920,ARZ,APFA,Chicago Cardinals,6,2,2,4th of 14,,N,N
2022,ATL,NFL,Atlanta Falcons,7,10,0,4th of 4,,N,N
2021,ATL,NFL,Atlanta Falcons,7,10,0,3rd of 4,,N,N
2020,ATL,NFL,Atlanta Falcons,4,12,0,4th of 4,,N,N
2019,ATL,NFL,Atlanta Falcons,7,9,0,2nd of 4,,N,N
2018,ATL,NFL,Atlanta Falcons,7,9,0,2nd of 4,,N,N
2017,ATL,NFL,Atlanta Falcons,10,6,0,3rd of 4,Lost Div,N,N
2016,ATL,NFL,Atlanta Falcons,11,5,0,1st of 4,Lost SB,N,Y
2015,ATL,NFL,Atlanta Falcons,8,8,0,2nd of 4,,N,N
2014,ATL,NFL,Atlanta Falcons,6,10,0,3rd of 4,,N,N
2013,ATL,NFL,Atlanta Falcons,4,12,0,3rd of 4,,N,N
2012,ATL,NFL,Atlanta Falcons,13,3,0,1st of 4,Lost Conf,N,N
2011,ATL,NFL,Atlanta Falcons,10,6,0,2nd of 4,Lost WC,N,N
2010,ATL,NFL,Atlanta Falcons,13,3,0,1st of 4,Lost Div,N,N
2009,ATL,NFL,Atlanta Falcons,9,7,0,2nd of 4,,N,N
2008,ATL,NFL,Atlanta Falcons,11,5,0,2nd of 4,Lost WC,N,N
2007,ATL,NFL,Atlanta Falcons,4,12,0,4th of 4,,N,N
2006,ATL,NFL,Atlanta Falcons,7,9,0,3rd of 4,,N,N
2005,ATL,NFL,Atlanta Falcons,8,8,0,3rd of 4,,N,N
2004,ATL,NFL,Atlanta Falcons,11,5,0,1st of 4,Lost Conf,N,N
2003,ATL,NFL,Atlanta Falcons,5,11,0,4th of 4,,N,N
2002,ATL,NFL,Atlanta Falcons,9,6,1,2nd of 4,Lost Div,N,N
2001,ATL,NFL,Atlanta Falcons,7,9,0,4th of 5,,N,N
2000,ATL,NFL,Atlanta Falcons,4,12,0,5th of 5,,N,N
1999,ATL,NFL,Atlanta Falcons,5,11,0,3rd of 5,,N,N
1998,ATL,NFL,Atlanta Falcons,14,2,0,1st of 5,Lost SB,N,Y
1997,ATL,NFL,Atlanta Falcons,7,9,0,3rd of 5,,N,N
1996,ATL,NFL,Atlanta Falcons,3,13,0,4th of 5,,N,N
1995,ATL,NFL,Atlanta Falcons,9,7,0,2nd of 5,Lost WC,N,N
1994,ATL,NFL,Atlanta Falcons,7,9,0,3rd of 4,,N,N
1993,ATL,NFL,Atlanta Falcons,6,10,0,3rd of 4,,N,N
1992,ATL,NFL,Atlanta Falcons,6,10,0,3rd of 4,,N,N
