yearID,lgID,tmID,franchID,name,confID,divID,playoff,G,W,L,T,OTL
1987,NHL,STL,STL,St. Louis Blues,CC,NO,DF,80,34,38,8,
1987,NHL,TOR,TOR,Toronto Maple Leafs,CC,NO,DSF,80,21,49,10,
1987,NHL,VAN,VAN,Vancouver Canucks,CC,SM,,80,25,46,9,
1987,NHL,WAS,WAS,Washington Capitals,WA,PT,DF,80,38,33,9,
1987,NHL,WIN,PHO,Winnipeg Jets,CC,SM,DSF,80,33,36,11,
1988,NHL,BOS,BOS,Boston Bruins,WA,AD,DF,80,37,29,14,
1988,NHL,BUF,BUF,Buffalo Sabres,WA,AD,DSF,80,38,35,7,
1988,NHL,CAL,CAL,Calgary Flames,CC,SM,SC,80,54,17,9,
1988,NHL,CHI,CHI,Chicago Blackhawks,CC,NO,CF,80,27,41,12,
1988,NHL,DET,DET,Detroit Red Wings,CC,NO,DSF,80,34,34,12,
1988,NHL,EDM,EDM,Edmonton Oilers,CC,SM,DSF,80,38,34,8,
1988,NHL,HAR,CAR,Hartford Whalers,WA,AD,DSF,80,37,38,5,
1988,NHL,LAK,LAK,Los Angeles Kings,CC,SM,DF,80,42,31,7,
1988,NHL,MNS,DAL,Minnesota North Stars,CC,NO,DSF,80,27,37,16,
1988,NHL,MTL,MTL,Montreal Canadiens,WA,AD,F,80,53,18,9,
1988,NHL,NJD,NJD,New Jersey Devils,WA,PT,,80,27,41,12,
1988,NHL,NYI,NYI,New York Islanders,WA,PT,,80,28,47,5,
1988,NHL,NYR,NYR,New York Rangers,WA,PT,DSF,80,37,35,8,
1988,NHL,PHI,PHI,Philadelphia Flyers,WA,PT,CF,80,36,36,8,
1988,NHL,PIT,PIT,Pittsburgh Penguins,WA,PT,DF,80,40,33,7,
1988,NHL,QUE,COL,Quebec Nordiques,WA,AD,,80,27,46,7,
1988,NHL,STL,STL,St. Louis Blues,CC,NO,DF,80,33,35,12,
1988,NHL,TOR,TOR,Toronto Maple Leafs,CC,NO,,80,28,46,6,
1988,NHL,VAN,VAN,Vancouver Canucks,CC,SM,DSF,80,33,39,8,
1988,NHL,WAS,WAS,Washington Capitals,WA,PT,DSF,80,41,29,10,
1988,NHL,WIN,PHO,Winnipeg Jets,CC,SM,,80,26,42,12,
1989,NHL,BOS,BOS,Boston Bruins,WA,AD,F,80,46,25,9,
1989,NHL,BUF,BUF,Buffalo Sabres,WA,AD,DSF,80,45,27,8,
1989,NHL,CAL,CAL,Calgary Flames,CC,SM,DSF,80,42,23,15,
1989,NHL,CHI,CHI,Chicago Blackhawks,CC,NO,CF,80,41,33,6,
1989,NHL,DET,DET,Detroit Red Wings,CC,NO,,80,28,38,14,
1989,NHL,EDM,EDM,Edmonton Oilers,CC,SM,SC,80,38,28,14,
1989,NHL,HAR,CAR,Hartford Whalers,WA,AD,DSF,80,38,33,9,
1989,NHL,LAK,LAK,Los Angeles Kings,CC,SM,DF,80,34,39,7,
1989,NHL,MNS,DAL,Minnesota North Stars,CC,NO,DSF,80,36,40,4,
1989,NHL,MTL,MTL,Montreal Canadiens,WA,AD,DF,80,41,28,11,
1989,NHL,NJD,NJD,New Jersey Devils,WA,PT,DSF,80,37,34,9,
1989,NHL,NYI,NYI,New York Islanders,WA,PT,DSF,80,31,38,11,
1989,NHL,NYR,NYR,New York Rangers,WA,PT,DF,80,36,31,13,
1989,NHL,PHI,PHI,Philadelphia Flyers,WA,PT,,80,30,39,11,
