yearID,franchID,Team,GP,W,D,L,SOW,GF,GA,GD,Pts,Qualification,playoffs,ch_app,ch_win,supporters_shield
2009,LAG,Los Angeles Galaxy,30,12,12,6,,36,31,5,48,2010–11 CONCACAF Champions League Preliminary Round 2,Y,Y,N,N
2009,RSL,Real Salt Lake,30,11,7,12,,43,35,8,40,2010–11 CONCACAF Champions League Group Stage 2,Y,Y,Y,N
2009,NER,New England Revolution,30,11,9,10,,33,37,-4,42,2010 North American SuperLiga 3,Y,N,N,N
2009,NYB,New York Red Bulls,30,5,6,19,,27,47,-20,21,,N,N,N,N
2009,SJE,San Jose Earthquakes,30,7,9,14,,36,50,-14,30,,N,N,N,N
2009,SEA,Seattle Sounders FC,30,12,11,7,,38,29,9,47,2010–11 CONCACAF Champions League Preliminary Round 2,Y,N,N,N
2009,TOR,Toronto FC,30,10,9,11,,37,46,-9,39,2010–11 CONCACAF Champions League Preliminary Round 1,N,N,N,N
2010,CHI,Chicago Fire,30,9,9,12,,37,38,-1,36,,N,N,N,N
2010,CVA,Chivas USA,30,8,4,18,,31,45,-14,28,,N,N,N,N
2010,CLM,Columbus Crew,30,14,8,8,,40,34,6,50,2011 North American SuperLiga 3,Y,N,N,N
2010,DCU,D.C. United,30,6,4,20,,21,47,-26,22,,N,N,N,N
2010,DAL,FC Dallas,30,12,14,4,,42,28,14,50,2011–12 CONCACAF Champions League Preliminary Round 2,Y,Y,N,N
2010,HOU,Houston Dynamo,30,9,6,15,,40,49,-9,33,,N,N,N,N
2010,SKC,Kansas City Wizards,30,11,6,13,,36,35,1,39,,N,N,N,N
2010,LAG,Los Angeles Galaxy,30,18,5,7,,44,26,18,59,2011–12 CONCACAF Champions League Group Stage 2,Y,N,N,Y
2010,COL,Colorado Rapids,30,12,10,8,,44,32,12,46,2011–12 CONCACAF Champions League Group Stage 2,Y,Y,Y,N
2010,NER,New England Revolution,30,9,5,16,,32,50,-18,32,,N,N,N,N
2010,NYB,New York Red Bulls,30,15,6,9,,38,29,9,51,2011 North American SuperLiga 3,Y,N,N,N
2010,PHI,Philadelphia Union,30,8,7,15,,35,49,-14,31,,N,N,N,N
2010,RSL,Real Salt Lake,30,15,11,4,,45,20,25,56,2011 North American SuperLiga 3,Y,N,N,N
2010,SJE,San Jose Earthquakes,30,13,7,10,,34,33,1,46,2011 North American SuperLiga 3,Y,N,N,N
2010,SEA,Seattle Sounders FC,30,14,6,10,,39,35,4,48,2011–12 CONCACAF Champions League Preliminary Round 2,Y,N,N,N
2010,TOR,Toronto FC,30,9,8,13,,33,41,-8,35,2011–12 CONCACAF Champions League Group Stage 2,N,N,N,N
2011,CHI,Chicago Fire,34,9,16,9,,46,45,1,43,,N,N,N,N
2011,CVA,Chivas USA,34,8,12,14,,41,43,-2,36,,N,N,N,N
2011,COL,Colorado Rapids,34,12,13,9,,44,41,3,49,,Y,N,N,N
2011,CLM,Columbus Crew,34,13,8,13,,43,44,-1,47,,Y,N,N,N
2011,DCU,D.C. United,34,9,12,13,,49,52,-3,39,,N,N,N,N
2011,DAL,FC Dallas,34,15,7,12,,42,39,3,52,,Y,N,N,N
2011,HOU,Houston Dynamo,34,12,13,9,,45,41,4,49,2012–13 CONCACAF Champions League Group Stage 2,Y,Y,N,N
2011,LAG,Los Angeles Galaxy,34,19,10,5,,48,28,20,67,2012–13 CONCACAF Champions League Group Stage 2,Y,Y,Y,Y
2011,NER,New England Revolution,34,5,13,16,,38,58,-20,28,,N,N,N,N
2011,NYB,New York Red Bulls,34,10,16,8,,50,44,6,46,,Y,N,N,N
2011,PHI,Philadelphia Union,34,11,15,8,,44,36,8,48,,Y,N,N,N
2011,POR,Portland Timbers,34,11,9,14,,40,48,-8,42,,N,N,N,N
2011,RSL,Real Salt Lake,34,15,8,11,,44,36,8,53,2012–13 CONCACAF Champions League Group Stage 2,Y,N,N,N
2011,SJE,San Jose Earthquakes,34,8,14,12,,40,45,-5,38,,N,N,N,N
2011,SEA,Seattle Sounders FC,34,18,9,7,,56,37,19,63,2012–13 CONCACAF Champions League Group Stage 2,Y,N,N,N
2011,SKC,Sporting Kansas City,34,13,12,9,,50,40,10,51,,Y,N,N,N
2011,TOR,Toronto FC,34,6,15,13,,36,59,-23,33,2011–12 CONCACAF Champions League Preliminary Round 3,N,N,N,N
2011,VAN,Vancouver Whitecaps FC,34,6,10,18,,35,55,-20,28,,N,N,N,N
2012,CHI,Chicago Fire,34,17,6,11,,46,41,5,57,,Y,N,N,N
2012,CVA,Chivas USA,34,7,9,18,,24,58,-34,30,,N,N,N,N
2012,COL,Colorado Rapids,34,11,4,19,,44,50,-6,37,,N,N,N,N
2012,CLM,Columbus Crew,34,15,7,12,,44,44,0,52,,Y,N,N,N
2012,DCU,D.C. United,34,17,7,10,,53,43,10,58,,Y,N,N,N
2012,DAL,FC Dallas,34,9,12,13,,42,47,-5,39,,N,N,N,N
2012,HOU,Houston Dynamo,34,14,11,9,,48,41,7,53,2013–14 CONCACAF Champions League 1,Y,Y,N,N
2012,MON,Montreal Impact,34,12,6,16,,45,51,-6,42,,N,N,N,N
2012,LAG,Los Angeles Galaxy,34,16,6,12,,59,47,12,54,2013–14 CONCACAF Champions League 1,Y,Y,Y,N
2012,NER,New England Revolution,34,9,8,17,,39,44,-5,35,,N,N,N,N
2012,NYB,New York Red Bulls,34,16,9,9,,57,46,11,57,,Y,N,N,N
2012,PHI,Philadelphia Union,34,10,6,18,,37,45,-8,36,,N,N,N,N
2012,POR,Portland Timbers,34,8,10,16,,34,56,-22,34,,N,N,N,N
2012,RSL,Real Salt Lake,34,17,6,11,,46,35,11,57,,Y,N,N,N
2012,SJE,San Jose Earthquakes,34,19,9,6,,72,43,29,66,2013–14 CONCACAF Champions League 1,Y,N,N,Y
2012,SEA,Seattle Sounders FC,34,15,11,8,,51,33,18,56,,Y,N,N,N
2012,SKC,Sporting Kansas City,34,18,9,7,,42,27,15,63,2013–14 CONCACAF Champions League 1,Y,N,N,N
2012,TOR,Toronto FC,34,5,8,21,,36,62,-26,23,2012–13 CONCACAF Champions League 2,N,N,N,N
2012,VAN,Vancouver Whitecaps FC,34,11,10,13,,35,41,-6,43,,N,N,N,N
2013,CHI,Chicago Fire,34,14,7,13,,47,52,-5,49,,N,N,N,N
2013,CVA,Chivas USA,34,6,8,20,,30,67,-37,26,,N,N,N,N
2013,COL,Colorado Rapids,34,14,9,11,,45,38,7,51,,Y,N,N,N
2013,CLM,Columbus Crew,34,12,5,17,,42,46,-4,41,,N,N,N,N
2013,DCU,D.C. United,34,3,7,24,,22,59,-37,16,2014–15 CONCACAF Champions League 1,N,N,N,N
2013,DAL,FC Dallas,34,11,11,12,,48,52,-4,44,,N,N,N,N
2013,HOU,Houston Dynamo,34,14,9,11,,41,41,0,51,,Y,N,N,N
2013,LAG,Los Angeles Galaxy,34,15,8,11,,53,38,15,53,,Y,N,N,N
2013,MON,Montreal Impact,34,14,7,13,,50,49,1,49,2013–14 CONCACAF Champions League 2,N,N,N,N
2013,NER,New England Revolution,34,14,9,11,,49,38,11,51,,Y,N,N,N
2013,NYB,New York Red Bulls,34,17,8,9,,58,41,17,59,2014–15 CONCACAF Champions League 1,Y,N,N,Y
2013,PHI,Philadelphia Union,34,12,10,12,,42,44,-2,46,,N,N,N,N
2013,POR,Portland Timbers,34,14,15,5,,54,33,21,57,2014–15 CONCACAF Champions League 1,Y,N,N,N
2013,SKC,Sporting Kansas City,34,17,7,10,,47,30,17,58,2014–15 CONCACAF Champions League 1,Y,Y,Y,N
2013,RSL,Real Salt Lake,34,16,8,10,,57,41,16,56,,Y,Y,N,N
2013,SJE,San Jose Earthquakes,34,14,9,11,,35,42,-7,51,,Y,N,N,N
2013,SEA,Seattle Sounders FC,34,15,7,12,,42,42,0,52,,Y,N,N,N
2013,TOR,Toronto FC,34,6,11,17,,30,47,-17,29,,N,N,N,N
2013,VAN,Vancouver Whitecaps FC,34,13,9,12,,53,45,8,48,,N,N,N,N
2014,CHI,Chicago Fire,34,6,18,10,,41,51,-10,36,,N,N,N,N
2014,CVA,Chivas USA,34,9,6,19,,29,61,-32,33,,N,N,N,N
2014,COL,Colorado Rapids,34,8,8,18,,43,62,-19,32,,N,N,N,N
2014,CLM,Columbus Crew,34,14,10,10,,52,42,10,52,,Y,N,N,N
2014,DCU,D.C. United,34,17,8,9,,52,37,15,59,2015–16 CONCACAF Champions League 3,Y,N,N,N
2014,DAL,FC Dallas,34,16,6,12,,55,45,10,54,,Y,N,N,N
2014,HOU,Houston Dynamo,34,11,6,17,,39,58,-19,39,,N,N,N,N
2014,MON,Montreal Impact,34,6,10,18,,38,58,-20,28,2014–15 CONCACAF Champions League 7,N,N,N,N
2014,NER,New England Revolution,34,17,4,13,,51,46,5,55,,Y,Y,N,N
2014,NYB,New York Red Bulls,34,13,11,10,,55,50,5,50,,Y,N,N,N
2014,PHI,Philadelphia Union,34,10,12,12,,51,51,0,42,,N,N,N,N
2014,POR,Portland Timbers,34,12,13,9,,61,52,9,49,,N,N,N,N
2014,LAG,Los Angeles Galaxy,34,17,10,7,,69,37,32,61,2015–16 CONCACAF Champions League 2,Y,Y,Y,N
2014,RSL,Real Salt Lake,34,15,11,8,,54,39,15,56,2015–16 CONCACAF Champions League 5,Y,N,N,N
2014,SJE,San Jose Earthquakes,34,6,12,16,,35,50,-15,30,,N,N,N,N
2014,SEA,Seattle Sounders FC,34,20,4,10,,65,50,15,64,2015–16 CONCACAF Champions League 1 4,Y,N,N,Y
2014,SKC,Sporting Kansas City,34,14,7,13,,48,41,7,49,,Y,N,N,N
2014,TOR,Toronto FC,34,11,8,15,,44,54,-10,41,,N,N,N,N
2014,VAN,Vancouver Whitecaps FC,34,12,14,8,,42,40,2,50,2015–16 CONCACAF Champions League 6,Y,N,N,N
2015,CHI,Chicago Fire,34,8,6,20,,43,58,-15,30,,N,N,N,N
2015,COL,Colorado Rapids,34,9,10,15,,33,43,-10,37,,N,N,N,N
2015,CLM,Columbus Crew,34,15,8,11,,58,53,5,53,,Y,Y,N,N
2015,DCU,D.C. United,34,15,6,13,,43,45,-2,51,,Y,N,N,N
2015,DAL,FC Dallas,34,18,6,10,,52,39,13,60,2016–17 CONCACAF Champions League,Y,N,N,N
2015,HOU,Houston Dynamo,34,11,9,14,,42,49,-7,42,,N,N,N,N
2015,LAG,Los Angeles Galaxy,34,14,9,11,,56,46,10,51,,Y,N,N,N
2015,MON,Montreal Impact,34,15,6,13,,48,44,4,51,,Y,N,N,N
2015,NER,New England Revolution,34,14,8,12,,48,47,1,50,,Y,N,N,N
2015,NYF,New York City FC,34,10,7,17,,49,58,-9,37,,N,N,N,N
2015,NYB,New York Red Bulls,34,18,6,10,,62,43,19,60,2016–17 CONCACAF Champions League,Y,N,N,Y
2015,ORC,Orlando City SC,34,12,8,14,,46,56,-10,44,,N,N,N,N
2015,PHI,Philadelphia Union,34,10,7,17,,42,55,-13,37,,N,N,N,N
2015,RSL,Real Salt Lake,34,11,8,15,,38,48,-10,41,,N,N,N,N
2015,POR,Portland Timbers,34,15,8,11,,41,39,2,53,2016–17 CONCACAF Champions League,Y,Y,Y,N
2015,SJE,San Jose Earthquakes,34,13,8,13,,41,39,2,47,,N,N,N,N
2015,SEA,Seattle Sounders FC,34,15,6,13,,44,36,8,51,,Y,N,N,N
2015,SKC,Sporting Kansas City,34,14,9,11,,48,45,3,51,2016–17 CONCACAF Champions League,Y,N,N,N
2015,TOR,Toronto FC,34,15,4,15,,58,58,0,49,,Y,N,N,N
2015,VAN,Vancouver Whitecaps FC,34,16,5,13,,45,36,9,53,2016–17 CONCACAF Champions League,Y,N,N,N
2016,CHI,Chicago Fire,34,7,10,17,,42,58,-16,31,,N,N,N,N
2016,COL,Colorado Rapids,34,15,13,6,,39,32,7,58,2018 CONCACAF Champions League,Y,N,N,N
2016,CLM,Columbus Crew SC,34,8,12,14,,50,58,-8,36,,N,N,N,N
2016,DCU,D.C. United,34,11,13,10,,53,47,6,46,,Y,N,N,N
2016,DAL,FC Dallas,34,17,9,8,,50,40,10,60,2018 CONCACAF Champions League,Y,N,N,Y
2016,HOU,Houston Dynamo,34,7,13,14,,39,45,-6,34,,N,N,N,N
2016,LAG,Los Angeles Galaxy,34,12,16,6,,54,39,15,52,,Y,N,N,N
2016,MON,Montreal Impact,34,11,12,11,,49,53,-4,45,,Y,N,N,N
2016,NER,New England Revolution,34,11,9,14,,44,54,-10,42,,N,N,N,N
2016,NYF,New York City FC,34,15,9,10,,62,57,5,54,,Y,N,N,N
2016,NYB,New York Red Bulls,34,16,9,9,,61,44,17,57,2018 CONCACAF Champions League,Y,N,N,N
2016,ORC,Orlando City SC,34,9,14,11,,55,60,-5,41,,N,N,N,N
2016,PHI,Philadelphia Union,34,11,9,14,,52,55,-3,42,,Y,N,N,N
2016,POR,Portland Timbers,34,12,8,14,,48,53,-5,44,,N,N,N,N
2016,RSL,Real Salt Lake,34,12,10,12,,44,46,-2,46,,Y,N,N,N
2016,SEA,Seattle Sounders FC,34,14,6,14,,44,43,1,48,2018 CONCACAF Champions League,Y,Y,Y,N
2016,SJE,San Jose Earthquakes,34,8,14,12,,32,40,-8,38,,N,N,N,N
2016,SKC,Sporting Kansas City,34,13,8,13,,42,41,1,47,,Y,N,N,N
2016,TOR,Toronto FC,34,14,11,9,,51,39,12,53,2018 CONCACAF Champions League,Y,Y,N,N
2016,VAN,Vancouver Whitecaps FC,34,10,9,15,,45,52,-7,39,,N,N,N,N
2017,ATL,Atlanta United FC,34,15,10,9,,70,40,30,55,,Y,N,N,N
2017,CHI,Chicago Fire,34,16,7,11,,61,47,14,55,,Y,N,N,N
2017,COL,Colorado Rapids,34,9,6,19,,31,51,-20,33,,N,N,N,N
2017,CLM,Columbus Crew,34,16,6,12,,53,49,4,54,,Y,N,N,N
2017,DCU,D.C. United,34,9,5,20,,31,60,-29,32,,N,N,N,N
2017,DAL,FC Dallas,34,11,13,10,,48,48,0,46,,N,N,N,N
2017,HOU,Houston Dynamo,34,13,11,10,,57,45,12,50,,Y,N,N,N
2017,LAG,Los Angeles Galaxy,34,8,8,18,,45,67,-22,32,,N,N,N,N
2017,MIN,Minnesota United FC,34,10,6,18,,47,70,-23,36,,N,N,N,N
2017,MON,Montreal Impact,34,11,6,17,,52,58,-6,39,,N,N,N,N
2017,NER,New England Revolution,34,13,6,15,,53,61,-8,45,,N,N,N,N
2017,NYF,New York City FC,34,16,9,9,,56,43,13,57,,Y,N,N,N
2017,NYB,New York Red Bulls,34,14,8,12,,53,47,6,50,,Y,N,N,N
2017,ORC,Orlando City SC,34,10,9,15,,39,58,-19,39,,N,N,N,N
2017,PHI,Philadelphia Union,34,11,9,14,,50,47,3,42,,N,N,N,N
2017,POR,Portland Timbers,34,15,8,11,,60,50,10,53,,Y,N,N,N
2017,RSL,Real Salt Lake,34,13,6,15,,49,55,-6,45,,N,N,N,N
2017,SJE,San Jose Earthquakes,34,13,7,14,,39,60,-21,46,,Y,N,N,N
2017,TOR,Toronto FC,34,20,9,5,,74,37,37,69,2018 CONCACAF Champions League,Y,Y,Y,Y
2017,SEA,Seattle Sounders FC,34,14,11,9,,52,39,13,53,,Y,Y,N,N
2017,SKC,Sporting Kansas City,34,12,13,9,,40,29,11,49,2019 CONCACAF Champions League,Y,N,N,N
2017,VAN,Vancouver Whitecaps FC,34,15,7,12,,50,49,1,52,,Y,N,N,N
2018,CHI,Chicago Fire,34,8,8,18,,48,61,-13,32,,N,N,N,N
2018,COL,Colorado Rapids,34,8,7,19,,36,63,-27,31,,N,N,N,N
2018,CLM,Columbus Crew,34,14,9,11,,43,45,-2,51,,Y,N,N,N
2018,DCU,D.C. United,34,14,9,11,,60,50,10,51,,Y,N,N,N
2018,DAL,FC Dallas,34,16,9,9,,52,44,8,57,,Y,N,N,N
2018,HOU,Houston Dynamo,34,10,8,16,,58,58,0,38,2019 CONCACAF Champions League,N,N,N,N
2018,LAG,Los Angeles Galaxy,34,13,9,12,,66,64,2,48,,N,N,N,N
