yearID,franchID,Team,GP,W,D,L,SOW,GF,GA,GD,Pts,Qualification,playoffs,ch_app,ch_win,supporters_shield
2021,MON,CF Montreal,34,12,10,12,,46,44,2,46,,N,N,N,N
2021,CHI,Chicago Fire FC,34,9,7,18,,36,54,-18,34,,N,N,N,N
2021,COL,Colorado Rapids,34,17,10,7,,51,35,16,61,,Y,N,N,N
2021,CLM,Columbus Crew,34,13,8,13,,46,45,1,47,,N,N,N,N
2021,DCU,D.C. United,34,14,5,15,,56,54,2,47,,N,N,N,N
2021,CIN,FC Cincinnati,34,4,8,22,,37,74,-37,20,,N,N,N,N
2021,DAL,FC Dallas,34,7,12,15,,47,56,-9,33,,N,N,N,N
2021,HOU,Houston Dynamo FC,34,6,12,16,,36,54,-18,30,,N,N,N,N
2021,MIA,Inter Miami CF,34,12,5,17,,36,53,-17,41,,N,N,N,N
2021,LAG,Los Angeles Galaxy,34,13,9,12,,50,54,-4,48,,N,N,N,N
2021,LAF,Los Angeles FC,34,12,9,13,,53,51,2,45,,N,N,N,N
2021,MIN,Minnesota United FC,34,13,10,11,,42,44,-2,49,,Y,N,N,N
2021,NAS,Nashville SC,34,12,18,4,,55,33,22,54,,Y,N,N,N
2021,NER,New England Revolution,34,22,7,5,,65,41,24,73,,Y,N,N,Y
2021,NYF,New York City FC,34,14,9,11,,56,36,20,51,,Y,Y,Y,N
2021,NYB,New York Red Bulls,34,13,9,12,,39,33,6,48,,Y,N,N,N
2021,ORC,Orlando City SC,34,13,12,9,,50,48,2,51,,Y,N,N,N
2021,PHI,Philadelphia Union,34,14,8,12,,58,40,18,58,,Y,N,N,N
2021,POR,Portland Timbers,34,14,12,8,,56,52,4,55,,Y,Y,N,N
2021,RSL,Real Salt Lake,34,14,6,14,,55,54,1,48,,Y,N,N,N
2021,SJE,San Jose Earthquakes,34,10,11,13,,46,54,-8,41,,N,N,N,N
2021,SEA,Seattle Sounders FC,34,17,9,8,,53,33,20,60,Qualification for the CONCACAF Champions League[a],Y,N,N,N
2021,SKC,Sporting Kansas City,34,17,7,10,,58,40,18,58,,Y,N,N,N
2021,TOR,Toronto FC,34,6,10,18,,39,66,-27,28,,N,N,N,N
2021,VAN,Vancouver Whitecaps FC,34,12,13,9,,45,45,0,49,,N,N,N,N
2022,ATL,Atlanta United FC,34,10,10,14,,48,54,-6,40,,N,N,N,N
2022,AUT,Austin FC,34,16,8,10,,65,49,16,56,,Y,N,N,N
2022,MON,CF Montreal,34,20,5,9,,63,50,13,65,,Y,N,N,N
2022,CHR,Charlotte FC,34,13,3,18,,44,52,-8,42,,N,N,N,N
2022,CHI,Chicago Fire FC,34,10,9,15,,39,48,-9,39,,N,N,N,N
2022,COL,Colorado Rapids,34,11,10,13,,46,57,-11,43,,N,N,N,N
2022,CLM,Columbus Crew,34,10,16,8,,46,41,5,46,,N,N,N,N
2022,DCU,D.C. United,34,7,6,21,,36,71,-35,27,,N,N,N,N
2022,CIN,FC Cincinnati,34,12,13,9,,64,45,8,49,,Y,N,N,N
2022,DAL,FC Dallas,34,14,11,9,,48,37,11,53,,Y,N,N,N
2022,HOU,Houston Dynamo FC,34,10,6,18,,43,56,-13,36,,N,N,N,N
2022,MIA,Inter Miami CF,34,14,6,14,,47,56,-9,48,,Y,N,N,N
2022,LAG,Los Angeles Galaxy,34,14,8,12,,58,51,7,50,,Y,N,N,N
2022,LAF,Los Angeles FC,34,21,4,9,,66,38,28,67,,Y,Y,Y,Y
2022,MIN,Minnesota United FC,34,14,6,14,,48,51,-3,48,,Y,N,N,N
2022,NAS,Nashville SC,34,13,11,10,,52,41,11,50,,Y,N,N,N
2022,NER,New England Revolution,34,10,12,12,,47,50,-3,42,,N,N,N,N
2022,NYF,New York City FC,34,16,7,11,,57,41,16,55,,Y,N,N,N
2022,NYB,New York Red Bulls,34,15,8,11,,50,41,9,53,,Y,N,N,N
2022,ORC,Orlando City SC,34,14,6,14,,44,53,-9,48,,Y,N,N,N
2022,PHI,Philadelphia Union,34,19,10,5,,72,26,46,67,,Y,Y,N,N
2022,POR,Portland Timbers,34,11,13,10,,53,53,0,46,,N,N,N,N
2022,RSL,Real Salt Lake,34,12,11,11,,43,45,-2,47,,Y,N,N,N
2022,SJE,San Jose Earthquakes,34,8,11,15,,52,69,-17,35,,N,N,N,N
2022,SEA,Seattle Sounders FC,34,12,5,17,,47,46,1,41,,N,N,N,N
2022,SKC,Sporting Kansas City,34,11,7,16,,42,54,-12,40,,N,N,N,N
2022,TOR,Toronto FC,34,9,7,18,,49,66,-17,34,,N,N,N,N
2022,VAN,Vancouver Whitecaps FC,34,12,7,15,,40,57,-17,43,,N,N,N,N
